Index    Filename             Shape        X (px)     Y (px)
-----------------------------------------------------------------
0        img_00000.jpg        sphere       479.4      214.2
1        img_00001.jpg        cylinder     38.2       121.7
2        img_00002.jpg        sphere       111.6      241.9
3        img_00003.jpg        sphere       276.4      263.7
4        img_00004.jpg        cube         173.0      165.8
5        img_00005.jpg        cube         484.7      94.9
6        img_00006.jpg        sphere       354.9      212.8
7        img_00007.jpg        cube         510.4      235.9
8        img_00008.jpg        sphere       530.2      155.3
9        img_00009.jpg        sphere       149.0      252.9
10       img_00010.jpg        cylinder     332.6      287.6
11       img_00011.jpg        sphere       516.5      221.1
12       img_00012.jpg        sphere       295.9      223.6
13       img_00013.jpg        sphere       426.2      68.9
14       img_00014.jpg        cylinder     281.0      120.5
15       img_00015.jpg        cone         268.1      262.0
16       img_00016.jpg        cylinder     118.9      144.7
17       img_00017.jpg        cylinder     183.8      219.4
18       img_00018.jpg        cone         186.7      115.3
19       img_00019.jpg        cylinder     452.2      231.9
20       img_00020.jpg        sphere       117.2      101.7
21       img_00021.jpg        cone         144.2      103.1
22       img_00022.jpg        cone         186.3      70.0
23       img_00023.jpg        cone         404.9      162.8
24       img_00024.jpg        cube         534.6      199.1
25       img_00025.jpg        cylinder     437.8      206.4
26       img_00026.jpg        sphere       535.2      121.2
27       img_00027.jpg        cylinder     494.2      269.4
28       img_00028.jpg        sphere       570.1      131.4
29       img_00029.jpg        sphere       148.4      76.3
30       img_00030.jpg        cone         296.2      166.8
31       img_00031.jpg        cone         128.8      240.5
32       img_00032.jpg        cone         479.0      247.5
33       img_00033.jpg        cone         177.9      73.9
34       img_00034.jpg        sphere       400.6      164.6
35       img_00035.jpg        sphere       562.5      224.0
36       img_00036.jpg        cylinder     582.2      68.7
37       img_00037.jpg        sphere       116.9      273.5
38       img_00038.jpg        sphere       550.8      198.2
39       img_00039.jpg        cube         152.7      77.8
40       img_00040.jpg        cube         224.2      102.0
41       img_00041.jpg        cube         273.8      170.1
42       img_00042.jpg        cylinder     86.1       95.0
43       img_00043.jpg        cylinder     453.0      192.0
44       img_00044.jpg        cube         571.3      130.0
45       img_00045.jpg        sphere       515.3      73.8
46       img_00046.jpg        cone         231.3      205.8
47       img_00047.jpg        cube         426.8      66.9
48       img_00048.jpg        cube         462.4      269.1
49       img_00049.jpg        cylinder     44.8       233.6
50       img_00050.jpg        cylinder     595.8      269.6
51       img_00051.jpg        cylinder     402.8      250.2
52       img_00052.jpg        cone         429.7      103.5
53       img_00053.jpg        sphere       235.7      74.3
54       img_00054.jpg        cone         216.9      130.3
55       img_00055.jpg        cube         506.8      263.4
56       img_00056.jpg        cube         45.1       214.7
57       img_00057.jpg        cube         330.0      119.0
58       img_00058.jpg        cylinder     533.1      222.0
59       img_00059.jpg        cube         173.8      208.6
60       img_00060.jpg        cone         33.5       239.3
61       img_00061.jpg        cube         233.3      72.8
62       img_00062.jpg        cylinder     167.0      194.4
63       img_00063.jpg        sphere       434.2      121.4
64       img_00064.jpg        sphere       407.5      121.2
65       img_00065.jpg        cylinder     543.7      242.5
66       img_00066.jpg        sphere       114.9      90.0
67       img_00067.jpg        sphere       91.1       188.5
68       img_00068.jpg        cube         77.3       140.3
69       img_00069.jpg        cube         290.9      199.7
